sample_accession,attribute_tag,attribute_value
SAMN49039021,ncbi_submission_package,MIMS.me.soil.6.0
SAMN49039021,depth,10 cm
SAMN49039021,organism,metagenome
SAMN49039021,elev,3 m
SAMN49039021,env_broad_scale,Soil
SAMN49039021,geo_loc_name,India: Thiruvarur
SAMN49039021,env_medium,Soil
SAMN49039021,lat_lon,10.7730 N 79.6370 E
SAMN49039021,env_local_scale,Soil
SAMN49039021,biosamplemodel,MIMS.me
SAMN49039021,biosamplemodel,MIGS/MIMS/MIMARKS.soil
SAMN49039021,ena_first_public,2025-10-10
SAMN49039021,ena_last_update,2025-10-10
SAMN49039020,collection_date,2023-03-08
SAMN49039020,insdc_secondary_accession,SRS25363420
SAMN49039020,ncbi_submission_package,MIMS.me.soil.6.0
SAMN49039020,depth,10 cm from the topsoil
SAMN49039020,organism,metagenome
SAMN49039020,elev,3 m
SAMN49039020,env_broad_scale,Soil
SAMN49039020,geo_loc_name,India: Thiruvarur
SAMN49039020,env_medium,Soil
SAMN49039020,lat_lon,10.7730 N 79.6370 E
SAMN49039020,env_local_scale,Soil
SAMN49039020,biosamplemodel,MIMS.me
SAMN49039020,biosamplemodel,MIGS/MIMS/MIMARKS.soil
SAMN49039020,ena_first_public,2025-10-10
SAMN49039020,ena_last_update,2025-10-10
SAMN49039019,collection_date,2023-10-11
SAMN49039019,insdc_secondary_accession,SRS25363419
SAMN49039019,ncbi_submission_package,MIMS.me.soil.6.0
SAMN49039019,depth,10 cm from the topsoil
SAMN49039019,organism,metagenome
SAMN49039019,elev,87 m
SAMN49039019,env_broad_scale,Soil
SAMN49039019,geo_loc_name,India: Neyveli
SAMN49039019,env_medium,Soil
SAMN49039019,lat_lon,11.5943 N 79.4571 E
SAMN49039019,env_local_scale,Soil
SAMN49039019,biosamplemodel,MIMS.me
SAMN49039019,biosamplemodel,MIGS/MIMS/MIMARKS.soil
SAMN49039019,ena_first_public,2025-10-10
SAMN49039019,ena_last_update,2025-10-10
SAMN49039018,collection_date,2023-10-10
SAMN49039018,insdc_secondary_accession,SRS25363418
SAMN49039018,ncbi_submission_package,MIMS.me.soil.6.0
SAMN49039018,depth,10 cm
SAMN49039018,organism,metagenome
SAMN49039018,elev,87 m
SAMN49039018,env_broad_scale,Soil
SAMN49039018,geo_loc_name,India: Neyveli
SAMN49039018,env_medium,Soil
SAMN49039018,lat_lon,11.5943 N 79.4571 E
SAMN49039018,env_local_scale,Soil
SAMN49039018,biosamplemodel,MIMS.me
SAMN49039018,biosamplemodel,MIGS/MIMS/MIMARKS.soil
SAMN49039018,ena_first_public,2025-10-10
SAMN49039018,ena_last_update,2025-10-10
SAMN49039017,collection_date,2023-01-18
SAMN49039017,insdc_secondary_accession,SRS25363417
SAMN49039017,ncbi_submission_package,MIMS.me.soil.6.0
SAMN49039017,depth,10 cm from the topsoil
SAMN49039017,organism,metagenome
SAMN49039017,elev,218 m
SAMN49039017,env_broad_scale,Soil
SAMN49039017,geo_loc_name,India: Namakkal
SAMN49039017,env_medium,Soil
SAMN49039017,lat_lon,11.3810 N 78.1658 E
SAMN49039017,env_local_scale,Soil
SAMN49039017,biosamplemodel,MIMS.me
SAMN49039017,biosamplemodel,MIGS/MIMS/MIMARKS.soil
SAMN49039017,ena_first_public,2025-10-10
SAMN49039017,ena_last_update,2025-10-10
SAMN49039016,collection_date,2023-09-29
SAMN49039016,insdc_secondary_accession,SRS25363416
SAMN49039016,ncbi_submission_package,MIMS.me.soil.6.0
SAMN49039016,depth,10 cm from the topsoil
SAMN49039016,organism,metagenome
SAMN49039016,elev,183 m
SAMN49039016,env_broad_scale,Soil
SAMN49039016,geo_loc_name,India: Erode
SAMN49039016,env_medium,soil
SAMN49039016,lat_lon,11.4975 N 77.1573 E
SAMN49039016,env_local_scale,Soil
SAMN49039016,biosamplemodel,MIMS.me
SAMN49039016,biosamplemodel,MIGS/MIMS/MIMARKS.soil
SAMN49039016,ena_first_public,2025-10-10
SAMN49039016,ena_last_update,2025-10-10
SAMN06606462,collection_date,2016-12-29
SAMN06606462,insdc_secondary_accession,SRS2062634
SAMN06606462,rel_to_oxygen,anaerobe
SAMN06606462,organism,rhizosphere metagenome
